Thor Odinson userID=0
Marvel-Comics 4 6
Peter Parker userID=1
Marvel-Comics 3 5
Tony Stark userID=2
Marvel-Comics 7 2
Steve Rogers userID=3
Marvel-Comics 6 1
Bruce Banner userID=4
Marvel-Comics 9 0
Clark Kent userID=5
DC-Comics 9 2
Barry Allen userID=6
DC-Comics 6 6
Wally West userID=7
DC-Comics 5 7
Oliver Queen userID=8
DC-Comics 2 7
Laurel Lance userID=9
DC-Comics 0 8
Sara Lance userID=10
DC-Comics 2 4
Ava Sharp userID=11
DC-Comics 0 1
Kara Danvers userID=12
DC-Comics 5 4
Clint Barton userID=13
Marvel-Comics 3 7
Ash Ketchum userID=17
NoTeam 0 0
Stan Lee userID=20
NoTeam 0 0
Michael Scott userID=21
NoTeam 0 0
